[INFO] 2019-04-18 18:23:10,670 [main] Chat.ServerPart InitServer - Server is running.
[INFO] 2019-04-18 18:24:20,480 [main] Chat.ServerPart InitServer - Server is running.
[INFO] 2019-04-18 18:24:26,410 [main] Chat.ClientPart InitTheProcess - Connection is established.
[INFO] 2019-04-18 18:24:26,547 [main] Chat.ClientPart lambda$InitTheProcess$0 - Appending
[INFO] 2019-04-18 18:24:29,440 [AWT-EventQueue-0] Chat.ClientPart sendMessage - This text was sent to the server: dddddddddddddd
[INFO] 2019-04-18 18:24:29,440 [Thread-1] Chat.ServerPart$ServerThreads run - The client sent this: Katya: dddddddddddddd
[INFO] 2019-04-18 18:24:29,470 [Thread-1] Chat.ServerPart$ServerThreads run - Im sending this to clients: Katya: dddddddddddddd
[INFO] 2019-04-18 18:24:29,480 [main] Chat.ClientPart lambda$InitTheProcess$0 - Appending
[INFO] 2019-04-18 18:24:31,503 [AWT-EventQueue-0] Chat.ClientPart sendMessage - This text was sent to the server: fdfddgdg
[INFO] 2019-04-18 18:24:31,503 [Thread-1] Chat.ServerPart$ServerThreads run - The client sent this: Katya: fdfddgdg
[INFO] 2019-04-18 18:24:31,514 [Thread-1] Chat.ServerPart$ServerThreads run - Im sending this to clients: Katya: fdfddgdg
[INFO] 2019-04-18 18:24:31,520 [main] Chat.ClientPart lambda$InitTheProcess$0 - Appending
[INFO] 2019-04-18 18:26:04,452 [main] Chat.ServerPart InitServer - Server is running.
[INFO] 2019-04-18 18:26:52,323 [main] Chat.ServerPart InitServer - Server is running.
